recursive,dynamic
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,3
3,3
2,3
2,3
2,3
2,3
3,3
3,3
3,3
3,3
3,4
3,4
3,4
4,4
3,4
4,4
3,4
3,4
4,4
3,4
3,5
3,5
4,5
4,5
4,5
5,5
4,5
5,5
5,6
5,6
4,6
5,6
5,6
5,6
5,7
6,7
6,7
6,7
6,7
6,7
7,7
6,7
6,8
6,8
6,8
6,9
6,8
7,8
6,9
7,9
8,9
7,9
7,9
7,9
10,10
9,10
8,10
8,10
8,11
9,10
8,11
9,11
10,11
11,11
10,11
10,12
9,12
12,12
11,12
11,12
11,13
10,13
13,13
11,13
11,13
12,13
11,14
11,14
12,14
12,14
13,14
11,15
13,15
21,15
12,15
13,16
13,16
13,16
15,16
13,16
14,17
15,17
16,17
15,17
14,18
13,18
17,18
15,18
15,18
15,19
16,19
16,19
17,19
18,20
17,20
16,20
17,20
20,21
18,21
22,21
19,21
20,22
20,22
19,22
17,22
21,23
19,23
20,23
18,23
22,24
21,24
20,24
23,24
22,25
23,25
25,25
24,26
26,26
27,26
25,26
23,26
26,27
27,27
25,27
28,28
27,28
25,28
26,28
25,29
28,29
29,30
29,30
30,30
29,30
29,30
27,31
25,31
29,31
28,32
30,32
32,33
31,33
32,34
29,34
31,34
33,34
33,34
33,35
36,35
34,35
35,35
30,36
32,36
37,36
36,37
36,37
38,38
39,38
38,38
37,38
36,39
37,39
40,39
40,40
40,40
39,40
40,41
38,42
34,41
41,42
38,42
39,43
41,43
40,43
40,43
40,44
40,44
47,46
41,45
45,45
45,46
45,46
44,47
43,47
43,47
46,49
48,49
50,49
48,49
49,49
47,49
45,50
45,50
53,50
48,51
52,51
53,52
48,52
49,52
49,53
45,53
54,54
53,54
53,54
56,55
54,55
57,55
51,56
49,56
52,57
57,57
57,57
53,58
58,58
53,58
53,59
53,59
58,60
61,61
57,61
56,61
58,62
61,62
55,62
55,63
61,63
60,63
60,64
59,64
56,65
51,65
51,65
55,66
58,67
59,68
60,68
61,68
66,69
65,69
61,69
59,69
64,70
63,70
67,71
66,78
64,72
63,72
61,73
60,73
57,74
73,75
65,75
66,75
62,75
72,76
64,76
67,77
70,77
69,77
75,78
